Date,M4 Growth Rate (%),Currency in Circulation Growth Rate (%),Loss Function,Nominal GDP Growth Rate (%),Total Assets Growth Rate (%),Divisia M4 year-over-year percentage growth rate
12/31/2002,5.82%,,-4.053360095,,,5.82%
1/31/2003,6.37%,,-3.288373418,,,6.37%
2/28/2003,5.81%,,-3.684399904,,,5.81%
3/31/2003,6.22%,,-3.66357056,,,6.22%
4/30/2003,6.07%,,-4.161742386,,,6.07%
5/31/2003,6.50%,,-4.546274924,,,6.50%
6/30/2003,7.10%,,-5.513140013,,,7.10%
7/31/2003,6.65%,,-5.020832396,,,6.65%
8/31/2003,5.71%,,-4.670800742,,,5.71%
9/30/2003,5.13%,,-4.695757463,,,5.13%
10/31/2003,5.25%,,-4.188891925,,,5.25%
11/30/2003,4.17%,,-3.395646,,,4.17%
12/31/2003,3.92%,5.871521659,-3.020719642,,0.046857366,3.92%
1/31/2004,3.77%,5.054463319,-2.9194194,6.705829152,0.04859798,3.77%
2/29/2004,3.91%,4.915550858,-2.581539919,,0.044803944,3.91%
3/31/2004,4.51%,4.464386835,-3.259341126,,0.044063698,4.51%
4/30/2004,4.81%,4.3261213,-2.559841704,7.072090062,0.034271536,4.81%
5/31/2004,4.51%,4.222607197,-2.559975406,,0.033257241,4.51%
6/30/2004,4.39%,4.983528517,-2.548150987,,0.043153842,4.39%
7/31/2004,4.04%,5.843729339,-2.25055319,6.38591802,0.046434655,4.04%
8/31/2004,4.73%,5.746898106,-1.969965929,,0.041716174,4.73%
9/30/2004,5.81%,5.797657729,-1.962703355,,0.057971285,5.81%
10/31/2004,5.89%,5.724267889,-2.250284855,6.413226241,0.055308323,5.89%
11/30/2004,6.28%,5.702350365,-1.956113932,,0.068155141,6.28%
12/31/2004,7.25%,5.194730122,-1.955696159,,0.064704368,7.25%
1/31/2005,6.49%,5.106115289,-1.660724987,7.07713969,0.062053068,6.49%
2/28/2005,6.17%,5.207152193,-1.929524958,,0.062247539,6.17%
3/31/2005,5.50%,5.345140766,-1.37458162,,0.062119443,5.50%
4/30/2005,5.25%,5.145489557,-1.428228492,6.685819935,0.054414825,5.25%
5/31/2005,5.30%,4.794531731,-1.178534296,,0.055983065,5.30%
6/30/2005,4.90%,4.619614744,-0.992586397,,0.05457273,4.90%
7/31/2005,5.05%,3.949192157,-0.98682333,6.804665662,0.050606257,5.05%
8/31/2005,5.40%,3.910511557,-0.784723033,,0.057121718,5.40%
9/30/2005,5.23%,4.03591171,-0.962317787,,0.043756488,5.23%
10/31/2005,5.82%,3.779208481,-0.930274676,6.362069012,0.039092134,5.82%
11/30/2005,6.29%,3.75551221,-0.906229858,,0.034345215,6.29%
12/31/2005,5.55%,3.974154873,-0.731401558,,0.038421141,5.55%
1/31/2006,6.22%,4.882150955,-0.469486896,6.515668248,0.036481776,6.22%
2/28/2006,6.14%,4.662676962,-0.620805582,,0.04153016,6.14%
3/31/2006,6.13%,4.897355799,-0.461988745,,0.045090692,6.13%
4/30/2006,5.99%,4.893917682,-0.359499678,6.428771299,0.042851357,5.99%
5/31/2006,5.65%,5.319825586,-0.193089674,,0.04571264,5.65%
6/30/2006,5.65%,4.513373627,-0.004847153,,0.04109405,5.65%
7/31/2006,5.91%,4.198614317,-0.192120475,5.535766705,0.038637674,5.91%
8/31/2006,5.74%,3.963228276,-0.040803896,,0.035907372,5.74%
9/30/2006,5.49%,3.454565638,0.116892293,,0.02889496,5.49%
10/31/2006,5.22%,3.294134403,0.087142464,5.368846049,0.037125526,5.22%
11/30/2006,5.48%,3.346521749,-0.169061313,,0.038853955,5.48%
12/31/2006,5.81%,3.317763184,-0.060309762,,0.02702504,5.81%
1/31/2007,5.62%,2.79926451,-0.10952493,4.533302057,0.029549848,5.62%
2/28/2007,5.69%,2.544730054,0.059908868,,0.040082561,5.69%
3/31/2007,5.96%,2.208683667,-0.016846184,,0.035431886,5.96%
4/30/2007,6.62%,2.152095362,-0.205308758,4.716338273,0.034723442,6.62%
5/31/2007,6.48%,1.912940835,-0.154156578,,0.039017334,6.48%
6/30/2007,6.55%,2.112811041,-0.360159916,,0.02503936,6.55%
7/31/2007,6.55%,2.353382398,-0.488357817,5.003025193,0.02814114,6.55%
8/31/2007,6.78%,2.284675692,-0.360202039,,0.027056954,6.78%
9/30/2007,7.07%,2.193854576,-0.479519854,,0.040696723,7.07%
10/31/2007,7.24%,2.457874989,-0.456101766,4.811390101,0.033332343,7.24%
11/30/2007,7.19%,2.412771597,-0.377511098,,0.032766641,7.19%
12/31/2007,6.81%,1.355202154,-0.836372357,,0.02669698,6.81%
1/31/2008,7.19%,1.053176864,-0.962700548,3.453144706,0.038953689,7.19%
2/29/2008,8.13%,1.125609391,-0.804812253,,0.016691458,8.13%
3/31/2008,9.25%,1.277903466,-1.181502897,,0.025018404,9.25%
4/30/2008,7.46%,0.790068314,-0.993066853,3.219110959,0.022273358,7.46%
5/31/2008,7.83%,1.011222477,-1.937774862,,0.020180702,7.83%
6/30/2008,7.35%,1.448409634,-2.513864098,,0.032482158,7.35%
7/31/2008,7.28%,1.877759048,-3.179995829,2.299363566,0.040527342,7.28%
8/31/2008,6.83%,2.313781473,-4.362526867,,0.044940632,6.83%
9/30/2008,8.51%,2.715086087,-4.408062083,,0.148727974,8.51%
10/31/2008,10.57%,4.358586935,-6.38381673,-0.726126937,0.967803517,10.57%
11/30/2008,9.07%,5.393286453,-8.212058324,,1.41991609,9.07%
12/31/2008,8.15%,7.020613043,-11.63450485,,1.509328427,8.15%
1/31/2009,8.48%,8.419404463,-15.63777479,-1.874248039,1.272931405,8.48%
2/28/2009,6.73%,9.789251119,-19.72733738,,1.134090923,6.73%
3/31/2009,5.15%,10.2991571,-23.62131018,,1.229908066,5.15%
4/30/2009,4.53%,10.9928164,-26.14711174,-3.258944869,1.395353423,4.53%
5/31/2009,4.75%,10.7410697,-30.5471244,,1.390254718,4.75%
6/30/2009,4.73%,10.29970456,-31.88891816,,1.297344234,4.73%
7/31/2009,2.91%,9.592571279,-32.13919057,-3.021122426,1.231885133,2.91%
8/31/2009,2.32%,9.663991013,-33.17942538,,1.245459574,2.32%
9/30/2009,-0.38%,9.476300824,-35.26748452,,1.102302783,-0.38%
10/31/2009,-4.44%,7.795644726,-36.5784277,0.294628883,0.258024938,-4.44%
11/30/2009,-4.93%,6.268788166,-35.2016935,,0.015718661,-4.93%
12/31/2009,-4.89%,5.289016742,-35.05002555,,-0.001583363,-4.89%
1/31/2010,-6.36%,3.955245186,-33.73595181,2.312468224,0.109442043,-6.36%
2/28/2010,-6.61%,3.696700406,-33.73095884,,0.205033167,-6.61%
3/31/2010,-7.42%,3.528518394,-34.85954965,,0.157872863,-7.42%
4/30/2010,-5.83%,3.502545241,-34.96858104,4.164850643,0.09664714,-5.83%
5/31/2010,-6.30%,3.529457563,-31.49225924,,0.094794525,-6.30%
6/30/2010,-7.43%,3.722758128,-29.35671585,,0.136342359,-7.43%
7/31/2010,-5.06%,3.870570988,-29.44081664,4.794301732,0.153562838,-5.06%
8/31/2010,-4.24%,3.877278041,-30.58921641,,0.138709243,-4.24%
9/30/2010,-3.70%,4.201783762,-30.74298356,,0.084688581,-3.70%
10/31/2010,-1.26%,4.922039283,-30.00763693,4.492607046,0.060397452,-1.26%
11/30/2010,-0.68%,5.73364959,-34.41248235,,0.064106177,-0.68%
12/31/2010,-0.64%,5.958511105,-28.98190976,,0.078168887,-0.64%
1/31/2011,-0.44%,6.260917752,-26.77610032,3.974591677,0.082784751,-0.44%
2/28/2011,0.24%,6.457843007,-25.6192661,,0.103894297,0.24%
3/31/2011,1.50%,7.30906458,-25.6172224,,0.12515868,1.50%
4/30/2011,2.43%,7.947348495,-26.37585959,3.854035792,0.147709144,2.43%
5/31/2011,3.07%,8.447192016,-25.22653204,,0.176423138,3.07%
6/30/2011,3.48%,8.72819889,-26.18189636,,0.210630346,3.48%
7/31/2011,2.31%,8.976361576,-25.07054487,3.34228769,0.230720078,2.31%
8/31/2011,1.33%,9.190788378,-25.02585152,,0.235200793,1.33%
9/30/2011,1.10%,9.187880467,-25.02232937,,0.241434319,1.10%
10/31/2011,0.11%,8.513420362,-23.10523226,3.480172502,0.238648271,0.11%
11/30/2011,0.68%,8.686908742,-21.18963617,,0.218873871,0.68%
12/31/2011,0.83%,8.884666193,-20.25058505,,0.208404589,0.83%
1/31/2012,2.27%,9.273377345,-18.48627933,4.673045741,0.192667754,2.27%
2/29/2012,2.67%,9.432750389,-18.48939653,,0.170568605,2.67%
3/31/2012,2.31%,9.440585681,-17.63805895,,0.116578642,2.31%
4/30/2012,1.44%,8.977095523,-17.64124235,4.175436533,0.073320449,1.44%
5/31/2012,0.59%,8.557798566,-17.67046112,,0.039012391,0.59%
6/30/2012,2.26%,8.306442646,-17.67261482,,0.012030455,2.26%
7/31/2012,2.82%,8.176761129,-17.69107676,4.293664985,-0.004210814,2.82%
8/31/2012,3.42%,8.017672881,-16.94289672,,-0.009208528,3.42%
9/30/2012,4.38%,8.438248354,-14.53476294,,-0.013928951,4.38%
10/31/2012,4.41%,8.875420203,-14.4523014,3.64921889,-0.009955093,4.41%
11/30/2012,5.17%,8.888000405,-13.73669601,,0.011223699,5.17%
12/31/2012,6.83%,8.466711662,-15.30670522,,0.003392804,6.83%
1/31/2013,6.18%,8.45026004,-16.16455047,3.486415683,0.01787075,6.18%
2/28/2013,5.40%,7.812232398,-13.87059038,,0.047375705,5.40%
3/31/2013,5.01%,7.230637358,-12.50395649,,0.098211634,5.01%
4/30/2013,5.22%,7.131348793,-13.29569469,3.038298576,0.137889597,5.22%
5/31/2013,5.01%,7.371524387,-12.57811864,,0.174935755,5.01%
6/30/2013,4.28%,7.320224411,-12.51138232,,0.201191447,4.28%
7/31/2013,3.58%,7.4365542,-11.12697618,3.624660989,0.237011374,3.58%
8/31/2013,3.49%,7.432078326,-10.42733136,,0.280213784,3.49%
9/30/2013,3.24%,7.096905931,-10.43778712,,0.310582712,3.24%
10/31/2013,3.66%,6.945234477,-10.46501135,4.340506977,0.34469381,3.66%
11/30/2013,2.72%,6.250981815,-8.575175647,,0.364022911,2.72%
12/31/2013,1.93%,6.36215546,-7.406970197,,0.375938917,1.93%
1/31/2014,0.93%,6.167579131,-6.970155406,3.098379041,0.370413139,0.93%
2/28/2014,2.15%,6.264036659,-7.558017817,,0.347293064,2.15%
3/31/2014,2.74%,7.428106735,-7.464860238,,0.324743197,2.74%
4/30/2014,1.73%,7.782159347,-4.932250484,4.569895322,0.308543311,1.73%
5/31/2014,2.41%,7.672613541,-5.344508362,,0.287998321,2.41%
6/30/2014,2.37%,7.538245678,-4.489916377,,0.2651199,2.37%
7/31/2014,2.39%,7.374696301,-4.890986402,4.920795067,0.242912179,2.39%
8/31/2014,2.34%,7.399493618,-4.503361693,,0.21670087,2.34%
9/30/2014,1.84%,7.00017201,-3.696257576,,0.201267266,1.84%
10/31/2014,1.67%,6.643345348,-3.064623463,4.19903819,0.176102582,1.67%
11/30/2014,1.63%,7.26118273,-3.477355099,,0.151532597,1.63%
12/31/2014,2.12%,7.836568083,-2.841205758,,0.126529318,2.12%
1/31/2015,2.97%,8.266726555,-3.303349592,4.940813791,0.108857067,2.97%
2/28/2015,2.85%,8.381342096,-2.614517199,,0.087535248,2.85%
3/31/2015,2.71%,7.385782658,-2.370226502,,0.06851363,2.71%
4/30/2015,2.99%,7.070045561,-2.397627794,4.186087343,0.049388715,2.99%
5/31/2015,2.65%,6.945540307,-3.071688331,,0.03633602,2.65%
6/30/2015,2.76%,6.783213135,-2.194130278,,0.029175676,2.76%
7/31/2015,3.70%,6.611810947,-2.089988268,3.177172901,0.021113518,3.70%
8/31/2015,4.12%,6.799944,-1.804268513,,0.015235874,4.12%
9/30/2015,3.57%,7.212711768,-1.586214918,,0.010885461,3.57%
10/31/2015,3.20%,7.526231093,-1.709002709,2.686110772,0.005754642,3.20%
11/30/2015,4.31%,7.140076621,-1.921090803,,-0.000481615,4.31%
12/31/2015,3.76%,6.659057802,-1.759177483,,-0.002366794,3.76%
1/31/2016,4.06%,6.290782461,-1.079594443,2.412037164,-0.003833409,4.06%
2/29/2016,4.18%,5.943661783,-1.176821854,,-0.002358052,4.18%
3/31/2016,4.52%,6.061026127,-1.378825584,,-0.000895354,4.52%
4/30/2016,4.87%,6.22916523,-1.493512122,2.297003024,0.001069282,4.87%
5/31/2016,5.08%,6.333699688,-0.892665495,,-0.001547193,5.08%
6/30/2016,5.74%,6.686474039,-1.061595672,,-0.002190337,5.74%
7/31/2016,4.77%,6.855289101,-0.815379536,2.559130516,-0.003549887,4.77%
8/31/2016,4.77%,6.493412707,-0.901463501,,-0.003943384,4.77%
9/30/2016,5.29%,6.24174689,-1.099896862,,-0.004054864,5.29%
10/31/2016,5.63%,6.064394949,-0.84236148,3.469120987,-0.007940728,5.63%
11/30/2016,5.19%,6.097601481,-0.546663415,,-0.007043885,5.19%
12/31/2016,5.14%,5.958186595,-0.519441513,,-0.005842051,5.14%
1/31/2017,4.85%,6.155759284,-0.499787461,3.95437666,-0.007811135,4.85%
2/28/2017,4.16%,5.88880356,-0.372836228,,-0.006113905,4.16%
3/31/2017,3.95%,6.280441897,-0.254522988,,-0.003849369,3.95%
4/30/2017,4.43%,6.564567289,-0.24850999,3.821822682,-0.002231707,4.43%
5/31/2017,4.45%,6.696476045,-0.280618992,,-0.000920587,4.45%
6/30/2017,3.84%,6.703503341,-0.182453787,,-3.79E-05,3.84%
7/31/2017,4.11%,6.757995999,-0.260024187,4.171583768,-0.000677371,4.11%
8/31/2017,4.18%,6.893724042,-0.405176421,,-0.000848395,4.18%
9/30/2017,4.88%,7.348767216,-0.263221036,,-0.001521208,4.88%
10/31/2017,5.04%,7.280980979,-0.133134846,4.823502859,0.000665067,5.04%
11/30/2017,4.96%,6.959222723,-0.131927828,,-0.000985952,4.96%
12/31/2017,4.95%,7.015667906,-0.087970518,,-0.003032881,4.95%
1/31/2018,4.96%,7.095796747,-0.072211146,5.167633641,-0.003795478,4.96%
2/28/2018,4.97%,7.418711834,-0.056354242,,-0.00969109,4.97%
3/31/2018,5.10%,6.935868382,0.006857353,,-0.015192114,5.10%
4/30/2018,4.59%,6.526797328,0.000151903,6.052770492,-0.021216751,4.59%
5/31/2018,4.60%,6.634675207,0.051604926,,-0.028009927,4.60%
6/30/2018,4.80%,6.819787492,0.004514261,,-0.034169904,4.80%
7/31/2018,4.80%,6.813308652,0.055669035,5.626188826,-0.040607153,4.80%
8/31/2018,4.52%,6.792346611,0.040663781,,-0.0503992,4.52%
9/30/2018,4.06%,6.793374053,0.091552564,,-0.057100486,4.06%
10/31/2018,3.88%,6.749823979,0.035108019,4.6791814,-0.066036229,3.88%
11/30/2018,3.52%,6.875795867,0.043580072,,-0.073608879,3.52%
12/31/2018,4.09%,6.378617109,0.013209468,,-0.081623414,4.09%
1/31/2019,4.23%,6.105797868,-0.027604851,4.258772314,-0.08732756,4.23%
2/28/2019,4.45%,5.661361741,-0.070025776,,-0.093421036,4.45%
3/31/2019,4.47%,5.28000654,-0.151081883,,-0.098752016,4.47%
4/30/2019,4.57%,5.271987589,0.06400798,3.888136201,-0.102471752,4.57%
5/31/2019,4.70%,4.927545257,0.011074432,,-0.108590299,4.70%
6/30/2019,4.83%,4.604243707,0.080157544,,-0.109875344,4.83%
7/31/2019,4.97%,4.663774914,0.019472121,4.094611663,-0.112835239,4.97%
8/31/2019,5.40%,4.636688147,0.068156518,,-0.109713806,5.40%
9/30/2019,5.87%,4.577073562,0.16740392,,-0.094331686,5.87%
10/31/2019,6.50%,4.695077626,0.079549444,4.233504257,-0.047460834,6.50%
11/30/2019,7.16%,4.936450337,-0.026577107,,-0.01944959,7.16%
12/31/2019,6.67%,5.1185129,0.028774438,,0.007931913,6.67%
1/31/2020,6.69%,5.220638304,0.20283289,2.284474543,0.026903746,6.69%
2/29/2020,6.86%,5.164557525,0.241417719,,0.041772577,6.86%
3/31/2020,9.83%,6.21275201,-0.247492678,,0.165006648,9.83%
4/30/2020,22.15%,9.324028855,-115.6676218,-8.510503978,0.60136859,22.15%
5/31/2020,28.46%,11.40162032,-85.63542335,,0.794442413,28.46%
6/30/2020,30.54%,12.52239412,-49.75312338,,0.855175801,30.54%
7/31/2020,30.41%,13.24462141,-38.92744427,-1.703965569,0.829873246,30.41%
8/31/2020,29.40%,14.60213957,-19.61208378,,0.848852331,29.40%
9/30/2020,29.07%,14.95375744,-15.39502393,,0.85074529,29.07%
10/31/2020,27.92%,15.29916787,-8.747501736,-0.99961474,0.797766007,27.92%
11/30/2020,27.34%,15.12276539,-7.669512734,,0.780560082,27.34%
12/31/2020,28.33%,15.39724948,-7.56021125,,0.778203687,28.33%
1/31/2021,28.07%,16.37313253,-6.000884362,2.59228847,0.772447112,28.07%
2/28/2021,27.66%,16.93960204,-5.102722458,,0.798624104,27.66%
3/31/2021,23.85%,15.83756041,-4.000702964,,0.655758017,23.85%
4/30/2021,12.30%,14.16989195,-2.82772871,16.75535558,0.234606896,12.30%
5/31/2021,7.14%,12.34399036,-1.116398267,,0.132325396,7.14%
6/30/2021,4.67%,11.42869125,-1.093715879,,0.126093701,4.67%
7/31/2021,4.15%,10.50665132,0.611391925,9.763052134,0.176702798,4.15%
8/31/2021,4.65%,9.132956037,1.117316512,,0.188649846,4.65%
